ID,StorageTime,PhysioLAB Pro1(00:07:80:8C:AE:23)|CH1-BVP,PhysioLAB Pro1(00:07:80:8C:AE:23)|CH2-EDA,PhysioLAB Pro1(00:07:80:8C:AE:23)|CH3-RESP
110,2025/12/05 13:55:03.385,141.51640625,1.611328125,0.201416015625
111,2025/12/05 13:55:03.386,141.434375,1.64871215820313,0.390625
112,2025/12/05 13:55:03.387,141.36015625,1.69448852539063,0.2197265625
113,2025/12/05 13:55:03.388,141.29765625,1.75323486328125,0.39825439453125
114,2025/12/05 13:55:03.389,141.246875,1.79214477539063,0.22125244140625
115,2025/12/05 13:55:03.390,141.10625,1.8157958984375,0.29296875
116,2025/12/05 13:55:03.391,141.04765625,1.81694030761719,0.189208984375
117,2025/12/05 13:55:03.392,140.996875,1.78756713867188,0.421142578125
118,2025/12/05 13:55:03.393,140.87578125,1.74369812011719,0.20904541015625
119,2025/12/05 13:55:03.394,140.81328125,1.702880859375,0.25482177734375
120,2025/12/05 13:55:03.395,140.715625,1.66778564453125,0.18463134765625
121,2025/12/05 13:55:03.396,140.63359375,1.62849426269531,0.17242431640625
122,2025/12/05 13:55:03.397,140.51640625,1.57737731933594,0.17242431640625
123,2025/12/05 13:55:03.398,140.41875,1.54953002929688,0.177001953125
124,2025/12/05 13:55:03.399,140.3875,1.53923034667969,0.146484375
125,2025/12/05 13:55:03.400,140.278125,1.53694152832031,0.22735595703125
126,2025/12/05 13:55:03.401,140.215625,1.53579711914063,0.128173828125
127,2025/12/05 13:55:03.402,140.10625,1.53541564941406,0.04425048828125
128,2025/12/05 13:55:03.403,140.0125,1.54228210449219,0.006103515625
129,2025/12/05 13:55:03.404,139.934375,1.57699584960938,-0.00457763671875
130,2025/12/05 13:55:03.405,139.83671875,1.61323547363281,0.091552734375
131,2025/12/05 13:55:03.406,139.7625,1.64756774902344,-0.042724609375
132,2025/12/05 13:55:03.407,139.66875,1.69258117675781,0.12359619140625
133,2025/12/05 13:55:03.408,139.559375,1.75552368164063,-0.054931640625
134,2025/12/05 13:55:03.409,139.50078125,1.79901123046875,0.08697509765625
135,2025/12/05 13:55:03.410,139.45,1.81427001953125,-0.13580322265625
136,2025/12/05 13:55:03.411,139.325,1.81388854980469,0
137,2025/12/05 13:55:03.412,139.28203125,1.78794860839844,0.030517578125
138,2025/12/05 13:55:03.413,139.2,1.74407958984375,0.0213623046875
139,2025/12/05 13:55:03.414,139.121875,1.69639587402344,0.03204345703125
140,2025/12/05 13:55:03.415,139.0125,1.65634155273438,0.006103515625
141,2025/12/05 13:55:03.416,138.95,1.60865783691406,-0.048828125
142,2025/12/05 13:55:03.417,138.871875,1.5625,0.09765625
143,2025/12/05 13:55:03.418,138.778125,1.55181884765625,-0.225830078125
144,2025/12/05 13:55:03.419,138.684375,1.53694152832031,0.11138916015625
145,2025/12/05 13:55:03.420,138.590625,1.5350341796875,-0.18310546875
146,2025/12/05 13:55:03.421,138.51640625,1.53350830078125,0.23193359375
147,2025/12/05 13:55:03.422,138.41875,1.53388977050781,0.177001953125
148,2025/12/05 13:55:03.423,138.35625,1.54190063476563,0.372314453125
149,2025/12/05 13:55:03.424,138.22734375,1.57814025878906,0.1953125
150,2025/12/05 13:55:03.425,138.1375,1.61209106445313,0.20294189453125
151,2025/12/05 13:55:03.426,138.075,1.64985656738281,0.18463134765625
152,2025/12/05 13:55:03.427,137.95,1.69334411621094,0.32501220703125
153,2025/12/05 13:55:03.428,137.8875,1.75209045410156,0.20294189453125
154,2025/12/05 13:55:03.429,137.840625,1.79595947265625,0.274658203125
155,2025/12/05 13:55:03.430,137.73515625,1.81770324707031,0.19073486328125
156,2025/12/05 13:55:03.431,137.621875,1.81884765625,0.36163330078125
157,2025/12/05 13:55:03.432,137.590625,1.788330078125,0.164794921875
158,2025/12/05 13:55:03.433,137.465625,1.74446105957031,0.11138916015625
159,2025/12/05 13:55:03.434,137.37578125,1.70249938964844,0.12969970703125
160,2025/12/05 13:55:03.435,137.278125,1.66587829589844,0.17852783203125
161,2025/12/05 13:55:03.436,137.215625,1.62925720214844,0.16021728515625
162,2025/12/05 13:55:03.437,137.09453125,1.57203674316406,0.29296875
163,2025/12/05 13:55:03.438,136.98515625,1.54685974121094,0.17242431640625
164,2025/12/05 13:55:03.439,136.91875,1.53884887695313,0.36163330078125
165,2025/12/05 13:55:03.440,136.84453125,1.53617858886719,0.15869140625
166,2025/12/05 13:55:03.441,136.715625,1.53465270996094,0.13427734375
167,2025/12/05 13:55:03.442,136.64140625,1.5380859375,0.079345703125
168,2025/12/05 13:55:03.443,136.56328125,1.54342651367188,0.018310546875
169,2025/12/05 13:55:03.444,136.48125,1.57928466796875,-0.006103515625
170,2025/12/05 13:55:03.445,136.371875,1.61285400390625,-0.02899169921875
171,2025/12/05 13:55:03.446,136.325,1.65214538574219,-0.02899169921875
172,2025/12/05 13:55:03.447,136.18828125,1.69296264648438,-0.02593994140625
173,2025/12/05 13:55:03.448,136.1375,1.75437927246094,-0.02288818359375
174,2025/12/05 13:55:03.449,136.03203125,1.79519653320313,-0.04730224609375
175,2025/12/05 13:55:03.450,135.92265625,1.81770324707031,0.0244140625
176,2025/12/05 13:55:03.451,135.84453125,1.82075500488281,-0.18768310546875
177,2025/12/05 13:55:03.452,135.79375,1.79023742675781,0.128173828125
178,2025/12/05 13:55:03.453,135.715625,1.74484252929688,-0.25482177734375
179,2025/12/05 13:55:03.454,135.59453125,1.69525146484375,0.28228759765625
180,2025/12/05 13:55:03.455,135.51640625,1.65596008300781,0.14190673828125
181,2025/12/05 13:55:03.456,135.45,1.61285400390625,0.225830078125
182,2025/12/05 13:55:03.457,135.35625,1.56288146972656,0.14190673828125
183,2025/12/05 13:55:03.458,135.2,1.55067443847656,0.35552978515625
184,2025/12/05 13:55:03.459,135.11015625,1.53923034667969,0.146484375
185,2025/12/05 13:55:03.460,134.996875,1.53656005859375,0.18157958984375
186,2025/12/05 13:55:03.461,134.95,1.5350341796875,0.09765625
187,2025/12/05 13:55:03.462,134.825,1.53656005859375,0.164794921875
188,2025/12/05 13:55:03.463,134.72734375,1.54037475585938,0.13427734375
189,2025/12/05 13:55:03.464,134.653125,1.57661437988281,0.28076171875
190,2025/12/05 13:55:03.465,134.559375,1.61018371582031,0.128173828125
191,2025/12/05 13:55:03.466,134.3875,1.64833068847656,0.091552734375
192,2025/12/05 13:55:03.467,134.340625,1.69334411621094,-0.048828125
193,2025/12/05 13:55:03.468,134.2625,1.75361633300781,-0.146484375
194,2025/12/05 13:55:03.469,134.153125,1.79901123046875,0.27923583984375
195,2025/12/05 13:55:03.470,134.09453125,1.81655883789063,0.1220703125
196,2025/12/05 13:55:03.471,133.96953125,1.81961059570313,-0.04730224609375
197,2025/12/05 13:55:03.472,133.871875,1.78756713867188,-0.09765625
198,2025/12/05 13:55:03.473,133.79375,1.74560546875,-0.08392333984375
199,2025/12/05 13:55:03.474,133.6375,1.70135498046875,0.0244140625
200,2025/12/05 13:55:03.475,133.590625,1.66511535644531,-0.09613037109375
201,2025/12/05 13:55:03.476,133.4734375,1.62544250488281,-0.103759765625
202,2025/12/05 13:55:03.477,133.37578125,1.56707763671875,-0.07476806640625
203,2025/12/05 13:55:03.478,133.25078125,1.55181884765625,-0.341796875
204,2025/12/05 13:55:03.479,133.14140625,1.53961181640625,0.23193359375
205,2025/12/05 13:55:03.480,133.059375,1.53388977050781,0.09307861328125
206,2025/12/05 13:55:03.481,132.92265625,1.53350830078125,0.09307861328125
207,2025/12/05 13:55:03.482,132.825,1.53541564941406,0.03204345703125
208,2025/12/05 13:55:03.483,132.715625,1.54228210449219,-0.01678466796875
209,2025/12/05 13:55:03.484,132.621875,1.57508850097656,-0.01678466796875
210,2025/12/05 13:55:03.485,132.54765625,1.61056518554688,-0.091552734375
211,2025/12/05 13:55:03.486,132.40703125,1.64527893066406,-0.006103515625
212,2025/12/05 13:55:03.487,132.32890625,1.69258117675781,0
213,2025/12/05 13:55:03.488,132.2625,1.75018310546875,0.05035400390625
214,2025/12/05 13:55:03.489,132.15703125,1.79672241210938,0.05035400390625
215,2025/12/05 13:55:03.490,132.06328125,1.81541442871094,0.042724609375
216,2025/12/05 13:55:03.491,131.95,1.81961059570313,-0.091552734375
217,2025/12/05 13:55:03.492,131.85625,1.78718566894531,-0.04730224609375
218,2025/12/05 13:55:03.493,131.79375,1.74407958984375,-0.103759765625
219,2025/12/05 13:55:03.494,131.68828125,1.69868469238281,-0.12664794921875
220,2025/12/05 13:55:03.495,131.559375,1.66435241699219,-0.201416015625
221,2025/12/05 13:55:03.496,131.48515625,1.62353515625,0.238037109375
222,2025/12/05 13:55:03.497,131.41875,1.56517028808594,0.048828125
223,2025/12/05 13:55:03.498,131.26640625,1.55029296875,-0.030517578125
224,2025/12/05 13:55:03.499,131.20390625,1.54075622558594,-0.08544921875
225,2025/12/05 13:55:03.500,131.12578125,1.53427124023438,-0.390625
226,2025/12/05 13:55:03.501,131.01640625,1.53770446777344,0.189208984375
227,2025/12/05 13:55:03.502,130.98125,1.54571533203125,0.048828125
228,2025/12/05 13:55:03.503,130.903125,1.544189453125,0.12359619140625
229,2025/12/05 13:55:03.504,130.78203125,1.57318115234375,0.042724609375
230,2025/12/05 13:55:03.505,130.715625,1.60865783691406,0.054931640625
231,2025/12/05 13:55:03.506,130.66875,1.63726806640625,-0.09765625
232,2025/12/05 13:55:03.507,130.59453125,1.69296264648438,-0.13427734375
233,2025/12/05 13:55:03.508,130.465625,1.75285339355469,-0.177001953125
234,2025/12/05 13:55:03.509,130.46953125,1.79481506347656,-0.16937255859375
235,2025/12/05 13:55:03.510,130.45,1.81617736816406,-0.04119873046875
236,2025/12/05 13:55:03.511,130.35625,1.81999206542969,-0.1953125
237,2025/12/05 13:55:03.512,130.26640625,1.79023742675781,0.225830078125
238,2025/12/05 13:55:03.513,130.2625,1.74827575683594,0.042724609375
239,2025/12/05 13:55:03.514,130.184375,1.69868469238281,0.00762939453125
240,2025/12/05 13:55:03.515,130.090625,1.65901184082031,-0.05340576171875
241,2025/12/05 13:55:03.516,130.07109375,1.6143798828125,-0.09765625
242,2025/12/05 13:55:03.517,129.98125,1.56211853027344,-0.0946044921875
243,2025/12/05 13:55:03.518,129.89140625,1.54800415039063,-0.152587890625
244,2025/12/05 13:55:03.519,129.85625,1.53923034667969,-0.18768310546875
245,2025/12/05 13:55:03.520,129.825,1.53388977050781,-0.14495849609375
246,2025/12/05 13:55:03.521,129.7625,1.53694152832031,-0.0732421875
247,2025/12/05 13:55:03.522,129.715625,1.53770446777344,-0.08544921875
248,2025/12/05 13:55:03.523,129.65703125,1.54266357421875,-0.054931640625
249,2025/12/05 13:55:03.524,129.60625,1.57318115234375,-0.16937255859375
250,2025/12/05 13:55:03.525,129.575,1.6082763671875,-0.13427734375
251,2025/12/05 13:55:03.526,129.54765625,1.64375305175781,-0.41351318359375
252,2025/12/05 13:55:03.527,129.50078125,1.69105529785156,0.06103515625
253,2025/12/05 13:55:03.528,129.50078125,1.751708984375,-0.341796875
254,2025/12/05 13:55:03.529,129.434375,1.79519653320313,0.14190673828125
255,2025/12/05 13:55:03.530,129.403125,1.81617736816406,-0.018310546875
256,2025/12/05 13:55:03.531,129.371875,1.82037353515625,-0.13427734375
257,2025/12/05 13:55:03.532,129.371875,1.788330078125,-0.18310546875
258,2025/12/05 13:55:03.533,129.340625,1.7486572265625,-0.39520263671875
259,2025/12/05 13:55:03.534,129.325,1.69715881347656,0.07476806640625
260,2025/12/05 13:55:03.535,129.278125,1.65939331054688,-0.04119873046875
261,2025/12/05 13:55:03.536,129.26640625,1.60446166992188,0.07476806640625
262,2025/12/05 13:55:03.537,129.21953125,1.56173706054688,-0.030517578125
263,2025/12/05 13:55:03.538,129.16875,1.54609680175781,0.01068115234375
264,2025/12/05 13:55:03.539,129.184375,1.53999328613281,-0.09765625
265,2025/12/05 13:55:03.540,129.121875,1.53427124023438,-0.18157958984375
